California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,48.6,6.3
201502,53.2,7.9
201503,56.9,8.1
201504,56.7,2.7
201505,60.8,0.1
201506,74.4,6.1
201507,75.0,0.3
201508,76.5,2.8
201509,72.1,3.6
201510,65.0,5.5
201511,47.6,-1.9
201512,42.3,-0.8
201601,44.5,2.2
201602,51.8,6.5
201603,52.5,3.7
201604,57.9,3.9
201605,62.2,1.5
201606,73.5,5.2
201607,76.8,2.1
201608,76.2,2.5
201609,69.5,1.0
201610,60.5,1.0
201611,52.8,3.3
201612,43.4,0.3
201701,42.2,-0.1
201702,47.3,2.0
201703,53.4,4.6
201704,55.6,1.6
201705,63.4,2.7
201706,72.8,4.5
201707,78.8,4.1
201708,77.9,4.2
201709,69.8,1.3
201710,62.0,2.5
201711,53.4,3.9
201712,47.5,4.4
201801,48.9,6.6
201802,46.6,1.3
201803,49.0,0.2
201804,57.2,3.2
201805,63.0,2.3
201806,71.4,3.1
201807,79.6,4.9
201808,76.4,2.7
201809,71.1,2.6
201810,60.9,1.4
201811,52.6,3.1
201812,44.8,1.7
201901,46.1,3.8
201902,40.6,-4.7
201903,48.9,0.1
201904,58.2,4.2
201905,58.6,-2.1
201906,71.1,2.8
201907,75.5,0.8
201908,76.8,3.1
201909,68.9,0.4
201910,58.8,-0.7
201911,53.0,3.5
201912,44.4,1.3
202001,45.3,3.0
202002,49.2,3.9
202003,48.0,-0.8
202004,56.6,2.6
202005,64.6,3.9
202006,70.4,2.1
202007,76.6,1.9
202008,78.9,5.2
202009,74.0,5.5
202010,66.2,6.7
202011,50.9,1.4
202012,45.5,2.4
202101,45.5,3.2
202102,47.4,2.1
202103,48.2,-0.6
202104,58.2,4.2
202105,64.5,3.8
202106,74.9,6.6
202107,79.8,5.1
202108,77.0,3.3
202109,72.2,3.7
202110,58.2,-1.3
202111,54.8,5.3
202112,43.5,0.4
202201,46.6,4.3
202202,48.0,2.7
202203,53.1,4.3
202204,55.9,1.9
202205,62.3,1.6
202206,72.1,3.8
202207,77.6,2.9
202208,78.4,4.7
202209,73.5,5.0
202210,64.3,4.8
