Kentucky, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,1.97,-2.23
201502,3.26,-0.34
201503,6.34,1.63
201504,8.28,4.18
201505,2.67,-1.67
201506,5.47,1.22
201507,9.37,5.03
201508,3.19,-0.54
201509,2.89,-0.35
201510,3.96,1.17
201511,4.39,0.82
201512,6.52,2.46
201601,1.88,-2.32
201602,4.97,1.37
201603,4.22,-0.49
201604,3.64,-0.46
201605,6.06,1.72
201606,3.74,-0.51
201607,8.39,4.05
201608,5.00,1.27
201609,2.13,-1.11
201610,1.05,-1.74
201611,2.07,-1.50
201612,6.04,1.98
201701,4.25,0.05
201702,2.00,-1.60
201703,4.58,-0.13
201704,4.48,0.38
201705,6.10,1.76
201706,4.96,0.71
201707,4.61,0.27
201708,4.38,0.65
201709,4.45,1.21
201710,5.24,2.45
201711,2.29,-1.28
201712,2.92,-1.14
201801,2.47,-1.73
201802,8.99,5.39
201803,5.18,0.47
201804,4.45,0.35
201805,4.88,0.54
201806,6.16,1.91
201807,4.27,-0.07
201808,4.80,1.07
201809,8.06,4.82
201810,3.07,0.28
201811,5.82,2.25
201812,5.59,1.53
201901,4.73,0.53
201902,9.39,5.79
201903,3.68,-1.03
201904,4.94,0.84
201905,4.43,0.09
201906,8.10,3.85
201907,5.24,0.90
201908,3.46,-0.27
201909,0.22,-3.02
201910,6.34,3.55
201911,4.69,1.12
201912,6.10,2.04
202001,4.47,0.27
202002,6.42,2.82
202003,6.84,2.13
202004,4.95,0.85
202005,5.58,1.24
202006,5.16,0.91
202007,5.22,0.88
202008,5.14,1.41
202009,3.98,0.74
202010,4.63,1.84
202011,2.23,-1.34
202012,3.49,-0.57
202101,4.12,-0.08
202102,4.51,0.91
202103,6.78,2.07
202104,3.08,-1.02
202105,3.57,-0.77
202106,5.02,0.77
202107,6.20,1.86
202108,5.28,1.55
202109,4.23,0.99
202110,4.38,1.59
202111,1.98,-1.59
202112,4.24,0.18
202201,5.30,1.10
202202,6.42,2.82
202203,3.40,-1.31
202204,4.39,0.29
202205,4.86,0.52
202206,2.70,-1.55
