Wisconsin, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value,Anomaly
201501,2.45,2.14
201502,1.84,1.54
201503,1.08,0.84
201504,1.00,0.78
201505,1.40,1.19
201506,1.45,1.23
201507,1.28,0.97
201508,1.29,1.12
201509,1.23,1.01
201510,1.32,1.11
201511,1.93,1.76
201512,3.80,3.66
201601,3.32,3.01
201602,2.90,2.60
201603,3.72,3.48
201604,3.10,2.88
201605,2.50,2.29
201606,2.75,2.53
201607,3.31,3.00
201608,3.63,3.46
201609,4.26,4.04
201610,4.22,4.01
201611,3.69,3.52
201612,3.91,3.77
201701,4.21,3.90
201702,4.05,3.75
201703,3.83,3.59
201704,4.32,4.10
201705,4.73,4.52
201706,5.04,4.82
201707,5.04,4.73
201708,4.89,4.72
201709,3.67,3.45
201710,4.16,3.95
201711,3.55,3.38
201712,3.21,3.07
201801,3.04,2.73
201802,3.11,2.81
201803,2.33,2.09
201804,2.64,2.42
201805,2.53,2.32
201806,2.78,2.56
201807,2.26,1.95
201808,3.02,2.85
201809,3.50,3.28
201810,5.02,4.81
201811,4.85,4.68
201812,4.68,4.54
201901,4.50,4.19
201902,5.52,5.22
201903,4.75,4.51
201904,4.92,4.70
201905,5.68,5.47
201906,5.06,4.84
201907,5.37,5.06
201908,4.83,4.66
201909,5.64,5.42
201910,6.69,6.48
201911,6.39,6.22
201912,6.77,6.63
202001,6.32,6.01
202002,5.49,5.19
202003,5.65,5.41
202004,5.01,4.79
202005,4.81,4.60
202006,4.62,4.40
202007,5.07,4.76
202008,4.35,4.18
202009,3.84,3.62
202010,4.16,3.95
202011,3.88,3.71
202012,-0.16,-0.30
202101,-0.23,-0.54
202102,-0.25,-0.55
202103,-0.39,-0.63
202104,-0.64,-0.86
202105,-0.81,-1.02
202106,-1.10,-1.32
202107,0.36,0.05
202108,0.97,0.80
202109,-0.68,-0.90
202110,-1.13,-1.34
202111,-1.64,-1.81
202112,-1.30,-1.44
202201,-1.48,-1.79
202202,-1.52,-1.82
202203,0.95,0.71
202204,1.54,1.32
202205,1.45,1.24
202206,-0.55,-0.77
