Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,2.84,-0.12
201502,3.23,0.08
201503,2.00,-1.69
201504,4.28,1.26
201505,2.39,-1.60
201506,6.05,-0.82
201507,7.83,0.43
201508,8.44,1.26
201509,6.67,0.13
201510,1.84,-2.00
201511,3.80,1.48
201512,3.49,0.79
201601,6.05,3.09
201602,3.25,0.10
201603,3.43,-0.26
201604,2.93,-0.09
201605,4.62,0.63
201606,7.11,0.24
201607,4.87,-2.53
201608,8.12,0.94
201609,7.43,0.89
201610,2.67,-1.17
201611,0.21,-2.11
201612,2.72,0.02
201701,3.71,0.75
201702,1.88,-1.27
201703,1.24,-2.45
201704,2.23,-0.79
201705,3.84,-0.15
201706,12.26,5.39
201707,7.57,0.17
201708,8.52,1.34
201709,8.87,2.33
201710,5.19,1.35
201711,1.64,-0.68
201712,1.68,-1.02
201801,2.96,0.00
201802,2.40,-0.75
201803,2.15,-1.54
201804,3.74,0.72
201805,9.31,5.32
201806,6.59,-0.28
201807,8.40,1.00
201808,7.61,0.43
201809,4.91,-1.63
201810,2.12,-1.72
201811,3.15,0.83
201812,7.18,4.48
201901,3.98,1.02
201902,1.98,-1.17
201903,1.94,-1.75
201904,3.12,0.10
201905,3.41,-0.58
201906,7.99,1.12
201907,7.53,0.13
201908,8.79,1.61
201909,1.73,-4.81
201910,5.16,1.32
201911,1.83,-0.49
201912,4.64,1.94
202001,1.57,-1.39
202002,3.48,0.33
202003,0.53,-3.16
202004,4.31,1.29
202005,5.25,1.26
202006,7.19,0.32
202007,7.99,0.59
202008,7.92,0.74
202009,9.30,2.76
202010,4.26,0.42
202011,3.85,1.53
202012,2.33,-0.37
202101,1.79,-1.17
202102,4.12,0.97
202103,1.74,-1.95
202104,4.55,1.53
202105,1.53,-2.46
202106,8.48,1.61
202107,8.85,1.45
202108,8.75,1.57
202109,7.07,0.53
202110,3.90,0.06
202111,2.87,0.55
202112,1.72,-0.98
202201,2.27,-0.69
202202,1.19,-1.96
202203,5.42,1.73
202204,3.27,0.25
202205,4.62,0.63
202206,6.69,-0.18
